model,evidence,n,requires_precision,requires_recall,requires_f1,produces_precision,produces_recall,produces_f1,risk_accuracy,cost_accuracy,exact_match,valid_json,normalization_ok
us.amazon.nova-2-lite-v1:0,metadata,100,0.3025,0.29666666666666663,0.29757142857142854,0.5022619047619048,0.54,0.5115,0.63,1.0,0.13,1.0,0.98
us.amazon.nova-2-lite-v1:0,name,100,0.5433333333333333,0.5466666666666666,0.5411428571428571,0.7167424242424242,0.78,0.7340000000000001,0.63,1.0,0.3,1.0,0.94
us.amazon.nova-2-lite-v1:0,schema,100,1.0,1.0,1.0,0.7647619047619049,0.78,0.7675,0.63,1.0,0.53,1.0,1.0
us.amazon.nova-2-pro-preview-20251202-v1:0,metadata,100,0.7765952380952382,0.7933333333333333,0.7776428571428571,0.8995238095238096,0.94,0.9078571428571429,0.63,1.0,0.39,1.0,1.0
us.amazon.nova-2-pro-preview-20251202-v1:0,name,100,0.8325952380952382,0.8333333333333333,0.8269285714285715,0.8978571428571428,0.93,0.905,0.63,0.93,0.45,1.0,0.99
us.amazon.nova-2-pro-preview-20251202-v1:0,schema,100,1.0,1.0,1.0,0.7664285714285713,0.79,0.7725,0.63,0.99,0.48,1.0,1.0
us.amazon.nova-premier-v1:0,metadata,100,0.5583333333333333,0.55,0.5526666666666666,0.875,0.88,0.8766666666666666,0.62,0.95,0.34,1.0,0.99
us.amazon.nova-premier-v1:0,name,100,0.7516666666666666,0.7333333333333333,0.7396666666666667,0.8,0.81,0.8033333333333332,0.49,0.9,0.29,1.0,0.96
us.amazon.nova-premier-v1:0,schema,100,1.0,0.995,0.9966666666666667,0.43,0.43,0.43,0.63,0.96,0.23,1.0,0.99
us.anthropic.claude-3-5-haiku-20241022-v1:0,metadata,100,0.8425,0.8533333333333333,0.8405238095238096,0.8266666666666665,0.93,0.856,0.63,1.0,0.44,0.98,1.0
us.anthropic.claude-3-5-haiku-20241022-v1:0,name,100,0.7841666666666666,0.7866666666666666,0.7812380952380953,0.8358333333333333,0.92,0.8623333333333334,0.62,1.0,0.39,0.98,1.0
us.anthropic.claude-3-5-haiku-20241022-v1:0,schema,100,0.955,0.945,0.9466666666666665,0.7615000000000001,0.84,0.7806666666666666,0.63,1.0,0.52,0.99,1.0
us.anthropic.claude-3-7-sonnet-20250219-v1:0,metadata,100,0.01,0.01,0.01,0.0,0.0,0.0,0.63,1.0,0.0,0.0,1.0
us.anthropic.claude-3-7-sonnet-20250219-v1:0,name,100,0.01,0.01,0.01,0.0,0.0,0.0,0.63,1.0,0.0,0.0,1.0
us.anthropic.claude-3-7-sonnet-20250219-v1:0,schema,100,0.01,0.01,0.01,0.0,0.0,0.0,0.63,1.0,0.0,0.0,1.0
us.anthropic.claude-opus-4-8,metadata,100,0.8966666666666666,0.8933333333333334,0.8936666666666666,0.9258333333333333,0.96,0.9356666666666666,0.79,0.97,0.65,1.0,1.0
us.anthropic.claude-opus-4-8,name,100,0.9016666666666666,0.8983333333333334,0.8986666666666666,0.9083333333333333,0.97,0.9263333333333335,0.74,0.88,0.58,1.0,1.0
us.anthropic.claude-opus-4-8,schema,100,1.0,1.0,1.0,0.9441666666666667,0.98,0.9540000000000001,0.79,0.98,0.72,1.0,1.0
us.anthropic.claude-sonnet-4-20250514-v1:0,metadata,100,0.8591666666666665,0.8433333333333333,0.848,0.935,0.97,0.945,0.67,0.97,0.51,1.0,1.0
us.anthropic.claude-sonnet-4-20250514-v1:0,name,100,0.8266666666666665,0.8133333333333332,0.818,0.9008333333333333,0.93,0.909,0.64,0.94,0.46,1.0,1.0
us.anthropic.claude-sonnet-4-20250514-v1:0,schema,100,1.0,1.0,1.0,0.8475,0.86,0.8506666666666667,0.7,0.99,0.58,1.0,1.0
us.anthropic.claude-sonnet-4-6,metadata,100,0.8966666666666666,0.8916666666666666,0.8933333333333333,0.932,0.95,0.9366666666666668,0.76,0.98,0.65,1.0,1.0
us.anthropic.claude-sonnet-4-6,name,100,0.8316666666666666,0.8316666666666666,0.8316666666666666,0.927,0.94,0.93,0.69,0.87,0.54,1.0,1.0
us.anthropic.claude-sonnet-4-6,schema,100,1.0,1.0,1.0,0.9475,0.96,0.9506666666666667,0.75,0.98,0.7,1.0,1.0
us.meta.llama3-3-70b-instruct-v1:0,metadata,100,0.6728571428571428,0.7033333333333333,0.6753571428571428,0.8621428571428572,0.98,0.8870238095238097,0.63,1.0,0.38,1.0,0.94
us.meta.llama3-3-70b-instruct-v1:0,name,100,0.7483333333333333,0.7683333333333333,0.7516666666666667,0.8303333333333334,0.88,0.8433333333333334,0.63,1.0,0.39,1.0,0.97
us.meta.llama3-3-70b-instruct-v1:0,schema,100,0.9966666666666667,0.995,0.9946666666666667,0.8558333333333333,0.93,0.8756666666666666,0.63,1.0,0.55,1.0,1.0
